tau,t,y,v
0.05,21.55,-0.523416,-0.258726
0.05,21.6,-0.535015,-0.231976
0.05,21.65,-0.54525,-0.204713
0.05,21.7,-0.554101,-0.177008
0.05,21.75,-0.561547,-0.148931
0.05,21.8,-0.567575,-0.120552
0.05,21.85,-0.572172,-0.0919433
0.05,21.9,-0.575331,-0.0631768
0.05,21.95,-0.577047,-0.0343244
0.05,22,-0.57732,-0.00545841
0.05,22.05,-0.576153,0.0233492
0.05,22.1,-0.573551,0.0520268
0.05,22.15,-0.569526,0.0805031
0.05,22.2,-0.564091,0.108708
0.05,22.25,-0.557262,0.136571
0.05,22.3,-0.549061,0.164024
0.05,22.35,-0.539511,0.190999
0.05,22.4,-0.52864,0.217431
0.05,22.45,-0.516477,0.243255
0.05,22.5,-0.503056,0.268408
0.05,22.55,-0.488415,0.292829
0.05,22.6,-0.472592,0.316458
0.05,22.65,-0.45563,0.33924
0.05,22.7,-0.437574,0.361119
0.05,22.75,-0.418472,0.382042
0.05,22.8,-0.398374,0.401961
0.05,22.85,-0.377333,0.420827
0.05,22.9,-0.355403,0.438598
0.05,22.95,-0.332641,0.45523
0.05,23,-0.309107,0.470685
0.05,23.05,-0.284861,0.484928
0.05,23.1,-0.259964,0.497926
0.05,23.15,-0.234482,0.50965
0.05,23.2,-0.208478,0.520074
0.05,23.25,-0.182019,0.529175
0.05,23.3,-0.155173,0.536934
0.05,23.35,-0.128006,0.543334
0.05,23.4,-0.100588,0.548364
0.05,23.45,-0.072987,0.552013
0.05,23.5,-0.0452732,0.554277
0.05,23.55,-0.0175156,0.555152
0.05,23.6,0.0102165,0.554641
0.05,23.65,0.0378539,0.552749
0.05,23.7,0.065328,0.549482
0.05,23.75,0.0925707,0.544854
0.05,23.8,0.119515,0.538878
0.05,23.85,0.146093,0.531573
0.05,23.9,0.172241,0.522961
