tau,t,y,v
0.05,20.9,-0.457601,-0.889158
0.05,20.95,-0.501459,-0.865181
0.05,21,-0.544065,-0.839043
0.05,21.05,-0.585311,-0.810809
0.05,21.1,-0.625095,-0.780548
0.05,21.15,-0.663317,-0.748338
0.05,21.2,-0.699882,-0.714258
0.05,21.25,-0.734699,-0.678394
0.05,21.3,-0.767679,-0.640834
0.05,21.35,-0.798742,-0.601674
0.05,21.4,-0.827809,-0.56101
0.05,21.45,-0.854808,-0.518944
0.05,21.5,-0.879671,-0.475582
0.05,21.55,-0.902337,-0.431032
0.05,21.6,-0.922747,-0.385405
0.05,21.65,-0.940853,-0.338815
0.05,21.7,-0.956608,-0.291379
0.05,21.75,-0.969973,-0.243214
0.05,21.8,-0.980914,-0.194442
0.05,21.85,-0.989405,-0.145184
0.05,21.9,-0.995423,-0.0955633
0.05,21.95,-0.998955,-0.0457039
0.05,22,-0.999991,0.0042698
0.05,22.05,-0.998528,0.0542328
0.05,22.1,-0.994571,0.10406
0.05,22.15,-0.988129,0.153628
0.05,22.2,-0.979218,0.202811
0.05,22.25,-0.96786,0.251488
0.05,22.3,-0.954085,0.299537
0.05,22.35,-0.937925,0.346837
0.05,22.4,-0.919423,0.393271
0.05,22.45,-0.898623,0.438722
0.05,22.5,-0.875578,0.483077
0.05,22.55,-0.850345,0.526225
0.05,22.6,-0.822988,0.568059
0.05,22.65,-0.793575,0.608473
0.05,22.7,-0.762179,0.647366
0.05,22.75,-0.728879,0.684643
0.05,22.8,-0.693757,0.720209
0.05,22.85,-0.656903,0.753975
0.05,22.9,-0.618407,0.785858
0.05,22.95,-0.578366,0.815777
0.05,23,-0.53688,0.843659
0.05,23.05,-0.494053,0.869432
0.05,23.1,-0.449991,0.893033
0.05,23.15,-0.404805,0.914403
0.05,23.2,-0.358608,0.933488
0.05,23.25,-0.311515,0.950241
0.05,23.3,-0.263643,0.96462
0.05,23.35,-0.215113,0.976589
0.05,23.4,-0.166045,0.986118
0.05,23.45,-0.116563,0.993183
0.05,23.5,-0.0667891,0.997767
0.05,23.55,-0.0168485,0.999858
0.05,23.6,0.0331342,0.999451
0.05,23.65,0.0830341,0.996547
0.05,23.7,0.132727,0.991153
0.05,23.75,0.182088,0.983282
0.05,23.8,0.230993,0.972955
0.05,23.85,0.279322,0.960197
0.05,23.9,0.326953,0.945041
0.05,23.95,0.373767,0.927523
0.05,24,0.419648,0.907687
0.05,24.05,0.464479,0.885584
